institute,institute_short,program,program_core,quota,seat_type,gender,opening_rank,closing_rank,degree,duration_years,degree_type,is_dual
Indian Institute of Technology Indore,IIT Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Female-only,2695,3922,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Gender-Neutral,2390,3723,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Female-only,6403,8044,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Gender-Neutral,5236,8299,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Female-only,14114,16848,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",Mathematics and Computing,AI,OPEN,Gender-Neutral,1751,2099,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",Mathematics and Computing,AI,OPEN,Female-only,4271,5553,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Gender-Neutral,4522,7545,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Female-only,12528,16482,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Metallurgical Engineering and Materials Science,AI,OPEN,Gender-Neutral,8439,11274,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Metallurgical Engineering and Materials Science,AI,OPEN,Female-only,20322,22422,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",Space Science and Engineering,AI,OPEN,Gender-Neutral,5679,7419,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Indore,IIT Indore,"Space Science and Engineering (4 Years, Bachelor of Technology)",Space Science and Engineering,AI,OPEN,Female-only,13917,13924,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,AI,OPEN,Gender-Neutral,3830,4872,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,AI,OPEN,Female-only,10128,12034,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Agricultural and Food Engineering,AI,OPEN,Gender-Neutral,6545,11111,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Agricultural and Food Engineering,AI,OPEN,Female-only,17306,19074,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",Applied Geology,AI,OPEN,Gender-Neutral,11734,13685,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",Applied Geology,AI,OPEN,Female-only,20949,21618,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",Architecture,AI,OPEN,Gender-Neutral,9970,19141,"5 Years, Bachelor of Architecture",5,B.Arch,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",Architecture,AI,OPEN,Female-only,19716,24124,"5 Years, Bachelor of Architecture",5,B.Arch,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,AI,OPEN,Gender-Neutral,461,953,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,AI,OPEN,Female-only,2901,3194,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,AI,OPEN,Gender-Neutral,6774,9224,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,AI,OPEN,Female-only,7274,14841,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Gender-Neutral,4379,5222,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Female-only,7574,11358,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",Chemistry,AI,OPEN,Gender-Neutral,11214,12321,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Chemistry (4 Years, Bachelor of Science)",Chemistry,AI,OPEN,Female-only,20022,21532,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Gender-Neutral,6188,7774,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Female-only,13875,15272,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Gender-Neutral,238,466,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Female-only,1202,1908,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",Economics,AI,OPEN,Gender-Neutral,3681,6063,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Economics (4 Years, Bachelor of Science)",Economics,AI,OPEN,Female-only,10113,12877,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Gender-Neutral,1492,1985,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Female-only,4721,5393,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Electrical Communication Engineering,AI,OPEN,Gender-Neutral,419,1485,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Electrical Communication Engineering,AI,OPEN,Female-only,3229,4734,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",Exploration Geophysics,AI,OPEN,Gender-Neutral,11359,12443,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",Exploration Geophysics,AI,OPEN,Female-only,19766,20854,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Industrial and Systems Engineering,AI,OPEN,Gender-Neutral,2873,4329,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Industrial and Systems Engineering,AI,OPEN,Female-only,9189,10288,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",Instrumentation Engineering,AI,OPEN,Gender-Neutral,2077,2741,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",Instrumentation Engineering,AI,OPEN,Female-only,6076,7896,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Manufacturing Science and Engineering,AI,OPEN,Gender-Neutral,5124,6547,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Manufacturing Science and Engineering,AI,OPEN,Female-only,12718,14070,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",Mathematics and Computing,AI,OPEN,Gender-Neutral,519,1336,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",Mathematics and Computing,AI,OPEN,Female-only,3754,4563,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Gender-Neutral,2773,4016,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Female-only,7605,10333,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Metallurgical and Materials Engineering,AI,OPEN,Gender-Neutral,5552,7708,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Metallurgical and Materials Engineering,AI,OPEN,Female-only,13680,15297,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",Mining Engineering,AI,OPEN,Gender-Neutral,7833,10765,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",Mining Engineering,AI,OPEN,Female-only,17757,20249,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Ocean Engineering and Naval Architecture,AI,OPEN,Gender-Neutral,7465,10074,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Ocean Engineering and Naval Architecture,AI,OPEN,Female-only,15779,17428,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Physics (4 Years, Bachelor of Science)",Physics,AI,OPEN,Gender-Neutral,7367,10939,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kharagpur,IIT Kharagpur,"Physics (4 Years, Bachelor of Science)",Physics,AI,OPEN,Female-only,19589,20982,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,AI,OPEN,Gender-Neutral,690,861,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,AI,OPEN,Female-only,2160,2515,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",Biomedical Engineering,AI,OPEN,Gender-Neutral,4950,8376,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",Biomedical Engineering,AI,OPEN,Female-only,13324,15443,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",Biotechnology and Bioinformatics,AI,OPEN,Gender-Neutral,5421,9378,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",Biotechnology and Bioinformatics,AI,OPEN,Female-only,10909,12925,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Gender-Neutral,4432,5756,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Female-only,10003,11874,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Gender-Neutral,5850,8698,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Female-only,12330,15160,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",Computational Engineering,AI,OPEN,Gender-Neutral,1368,1866,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",Computational Engineering,AI,OPEN,Female-only,4136,4712,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Gender-Neutral,339,673,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Female-only,1294,2121,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Gender-Neutral,848,1900,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Female-only,3584,4295,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",Electrical Engineering (IC Design and Technology),AI,OPEN,Gender-Neutral,1644,1895,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",Electrical Engineering (IC Design and Technology),AI,OPEN,Female-only,3778,4071,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Gender-Neutral,3332,4686,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,AI,OPEN,Female-only,7216,9760,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",Engineering Science,AI,OPEN,Gender-Neutral,2225,3272,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",Engineering Science,AI,OPEN,Female-only,5901,6682,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",Industrial Chemistry,AI,OPEN,Gender-Neutral,7757,10043,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",Industrial Chemistry,AI,OPEN,Female-only,15962,16983,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Materials Science and Metallurgical Engineering,AI,OPEN,Gender-Neutral,6084,7604,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Materials Science and Metallurgical Engineering,AI,OPEN,Female-only,10359,15504,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",Mathematics and Computing,AI,OPEN,Gender-Neutral,771,1015,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",Mathematics and Computing,AI,OPEN,Female-only,2700,2758,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Gender-Neutral,2837,4443,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Hyderabad,IIT Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Female-only,6897,9524,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Science,AI,OPEN,Gender-Neutral,3049,4212,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Science,AI,OPEN,Female-only,7277,8705,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",Bio Engineering,AI,OPEN,Gender-Neutral,13106,15278,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",Bio Engineering,AI,OPEN,Female-only,16749,22651,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Gender-Neutral,9595,11626,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Female-only,18850,19522,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",Chemistry with Specialization,AI,OPEN,Gender-Neutral,14939,18310,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",Chemistry with Specialization,AI,OPEN,Female-only,25547,26039,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",Civil and Infrastructure Engineering,AI,OPEN,Gender-Neutral,11662,14301,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",Civil and Infrastructure Engineering,AI,OPEN,Female-only,18920,22812,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Gender-Neutral,2269,2918,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Female-only,5959,7224,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Gender-Neutral,5270,6824,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Female-only,9375,14511,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Electronics Engineering (4 Years, Bachelor of Technology)",Electronics Engineering,AI,OPEN,Gender-Neutral,4392,6228,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Electronics Engineering (4 Years, Bachelor of Technology)",Electronics Engineering,AI,OPEN,Female-only,10250,14160,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",Materials Engineering,AI,OPEN,Gender-Neutral,11659,15034,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",Materials Engineering,AI,OPEN,Female-only,20897,24170,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Gender-Neutral,7550,9569,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,AI,OPEN,Female-only,17068,18647,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",Physics with Specialization,AI,OPEN,Gender-Neutral,11193,15185,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Jodhpur,IIT Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",Physics with Specialization,AI,OPEN,Female-only,23924,25502,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,AI,OPEN,Gender-Neutral,1973,3805,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,AI,OPEN,Female-only,6160,9292,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,AI,OPEN,Gender-Neutral,3559,7105,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,AI,OPEN,Female-only,10629,14717,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Gender-Neutral,2785,4280,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,AI,OPEN,Female-only,7856,8902,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Chemistry (4 Years, Bachelor of Science)",Chemistry,AI,OPEN,Gender-Neutral,8553,10482,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Chemistry (4 Years, Bachelor of Science)",Chemistry,AI,OPEN,Female-only,11132,18410,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Gender-Neutral,4361,6161,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,AI,OPEN,Female-only,9442,13558,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Gender-Neutral,147,271,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Female-only,507,1109,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",Earth Sciences,AI,OPEN,Gender-Neutral,8158,10108,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",Earth Sciences,AI,OPEN,Female-only,17777,20264,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Kanpur,IIT Kanpur,"Economics (4 Years, Bachelor of Science)",Economics,AI,OPEN,Gender-Neutral,2625,3310,"4 Years, Bachelor of Science",4,B.S.,no
