institute,institute_short,program,program_core,quota,seat_type,gender,opening_rank,closing_rank,degree,duration_years,degree_type,is_dual
Indian Institute of Technology Bombay,IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Gender-Neutral,1,66,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,AI,OPEN,Female-only,29,369,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Economics (4 Years, Bachelor of Science)",Economics,AI,OPEN,Gender-Neutral,1531,2372,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Bombay,IIT Bombay,"Economics (4 Years, Bachelor of Science)",Economics,AI,OPEN,Female-only,3744,4928,"4 Years, Bachelor of Science",4,B.S.,no
Indian Institute of Technology Bombay,IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Gender-Neutral,106,433,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,AI,OPEN,Female-only,779,1914,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical Engineering,AI,OPEN,Gender-Neutral,470,841,"5 Years, Bachelor and Master of Technology (Dual Degree)",5,Dual Degree (B.Tech-M.Tech),yes
Indian Institute of Technology Bombay,IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical Engineering,AI,OPEN,Female-only,2219,3274,"5 Years, Bachelor and Master of Technology (Dual Degree)",5,Dual Degree (B.Tech-M.Tech),yes
Indian Institute of Technology Bombay,IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",Energy Engineering,AI,OPEN,Gender-Neutral,1810,2584,"4 Years, Bachelor of Technology",4,B.Tech,no
Indian Institute of Technology Bombay,IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",Energy Engineering,AI,OPEN,Female-only,4087,6136,"4 Years, Bachelor of Technology",4,B.Tech,no
