institute_short,program_core,avg_lpa,median_lpa,highest_lpa,placement_pct,source
IIT Kharagpur,Electrical Engineering,28.21,26.00,83.20,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Exploration Geophysics,17.95,17.20,27.20,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Applied Geology,21.13,19.72,50.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Economics,25.38,22.00,91.40,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Instrumentation Engineering,26.55,23.90,106.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Industrial and Systems Engineering,23.99,21.00,91.40,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Mathematics and Computing,39.11,36.50,91.40,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Mechanical Engineering,21.74,20.00,50.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Manufacturing Science and Engineering,20.01,19.00,39.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Mining Engineering,19.86,17.22,36.80,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Metallurgical and Materials Engineering,18.17,16.40,42.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Ocean Engineering and Naval Architecture,18.61,17.10,37.00,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kharagpur,Physics,24.64,22.00,45.60,,IIT Kharagpur placement 2025 (partial, to mid-Dec 2025)
IIT Kanpur,Aerospace Engineering,20.95,20.21,,,IIT Kanpur placement 2025
IIT Kanpur,Biological Sciences and Bioengineering,23.07,21.05,,,IIT Kanpur placement 2025
IIT Kanpur,Chemical Engineering,20.69,20.11,,,IIT Kanpur placement 2025
